1. BSV Wulferdingsen,186054,WTTV
1. FC 1946 Großwenkheim e.V.,102029,ByTTV
1. FC Arnstein,102002,ByTTV
1. FC Baunach,205008,ByTTV
1. FC Bayreuth,206007,ByTTV
1. FC Beilngries,414007,ByTTV
1. FC Bocholt,175021,WTTV
1. FC Brelingen,2194820,TTVN
1. FC Bruchsal,105,BaTTV
1. FC Eintracht Bamberg e.V.,205007,ByTTV
1. FC Eschenau 1927 e.V.,207023,ByTTV
1. FC Gievenbeck,172041,WTTV
1. FC Grevenbroich-Süd,142007,WTTV
1. FC Großdechsendorf,604015,ByTTV
1. FC Gunzenhausen e.V.,104040,ByTTV
1. FC Heilsbronn 1920 e.V.,104043,ByTTV
1. FC Hösbach,101041,ByTTV
1. FC Kalchreuth e.V.,207049,ByTTV
1. FC Köln,151052,WTTV
1. FC Langfurth 1921 e.V.,104050,ByTTV
1. FC Markt Berolzheim-Meinheim 1921 e.V,607005,ByTTV
1. FC Markt Berolzheim-Meinheim 1921 e.V.,104053,ByTTV
1. FC Pleinfeld,104070,ByTTV
1. FC Pressig,206067,ByTTV
1. FC Quadrath-Ichendorf,151006,WTTV
1. FC Röthenbach,207096,ByTTV
1. FC Sachsen 1953,104078,ByTTV
1. FC Schnaittach 1920 e.V.,207098,ByTTV
1. FC Schwand,104086,ByTTV
1. FC Schwarzenfeld,208062,ByTTV
1. FSV Mainz 05,323,RTTV
1. FV Opferbaum e.V.,706051,ByTTV
1. Jugend SV Hannover,2205817,TTVN
1. Kieler Versehrten SV,70187,TTVSH
1. Neusser TTC Nordstadt,142033,WTTV
1. PPC Münster 09,172024,WTTV
1. SC Gröbenzell,312026,ByTTV
1. SC Klarenthal 1968,36011,HeTTV
1. SC Kohlheck,36012,HeTTV
1. SC Norderstedt,0900,HaTTV
1. SV Pößneck e.V.,208005,TTTV
1. TC Ittersbach,714,BaTTV
1. TTC 1931 Heiligenhaus,144012,WTTV
1. TTC 1946 Mühlheim,46022,HeTTV
1. TTC 1948 e.V. Königsbach,717,BaTTV
1. TTC BW Breyell,143025,WTTV
1. TTC Bremen,70,FTTB
1. TTC Bürgeln 1982,13012,HeTTV
1. TTC Frankenthal,059,PTTV
1. TTC Greifswald,751879,TTVMV
1. TTC Hardt-Venn,143004,WTTV
1. TTC Ketsch,805,BaTTV
1. TTC Köln,151012,WTTV
1. TTC Mainzer Füchse 1975,328,RTTV
1. TTC Mühlen 1987 e. v.,12029,TTVWH
1. TTC Münster,172005,WTTV
1. TTC Pirmasens,179,PTTV
1. TTC SG Dülken,143002,WTTV
1. TTC Saalfeld e.V.,211024,TTTV
1. TTC Viersen,143062,WTTV
1. TTC Wangen,02054,TTVWH
1. TTC Zeitz,11317,TTVSA
1. TTSV Schöneck,4329,STTV
1. TTV Abenheim 05,401,RTTV
1. TTV Asseln,112013,WTTV
1. TTV Nonnewitz 63,11309,TTVSA
1. TTV Richtsberg 1971,13045,HeTTV
1. TTV Schwarzenberg,4247,STTV
1.FC Niedernhausen-Lichtenberg,42036,HeTTV
1.FC Saarbrücken,229,STTB
1.KSV 64-90 Fürstenwalde,1103,TTVB
1.TTC 07 Zossen,2213,TTVB
1.TTC Darmstadt,42011,HeTTV
1.TTC Worms,422,RTTV
